Date,Price,Vol.,LOG Return,Return
2018-04-19,141.63,442.72K,-0.0099062881988989,-0.009857382550335525
2018-04-18,143.04,470.33K,0.006734032181343899,0.006756756756756577
2018-04-17,142.08,405.32K,0.01146752851298551,0.011533532678342562
2018-04-16,140.46,346.54K,0.019990598827590435,0.02019174898314935
2018-04-13,137.68,562.83K,0.0024725487107535955,0.0024756079801950825
2018-04-12,137.34,792.04K,0.006428071805252773,0.0064487761981533165
2018-04-11,136.46,306.58K,-0.004168348570831981,-0.004159673064292435
2018-04-10,137.03,302.85K,0.00850133372187739,0.008537572679767402
2018-04-09,135.87,314.61K,0.003982306147817875,0.003990246065173952
2018-04-06,135.33,274.09K,-0.021564374965009417,-0.021333526178767603
2018-04-05,138.28,256.95K,0.00915371447867077,0.00919573784848926
2018-04-04,137.02,258.77K,0.012336769770673687,0.012413181616669267
2018-04-03,135.34,360.14K,0.009204340516446691,0.00924683072334087
2018-04-02,134.1,398.68K,-0.020737985358031858,-0.020524432108684598
2018-03-29,136.91,286.14K,0.013604651498968773,0.013697615874426194
2018-03-28,135.06,302.39K,-0.0025142363314787862,-0.002511078286558388
2018-03-27,135.4,386.35K,-0.0030234896378023204,-0.003018923496060699
2018-03-26,135.81,415.10K,0.02391977236421491,0.024208144796380227
2018-03-23,132.6,548.24K,-0.004889985294191792,-0.004878048780487809
2018-03-22,133.25,417.22K,-0.021015885041652468,-0.02079659024103475
2018-03-21,136.08,394.85K,0.003386090831910395,0.0033918301135527074
2018-03-20,135.62,486.10K,-0.016236734963978063,-0.016105629715612246
2018-03-19,137.84,357.85K,-0.006508085737481076,-0.006486954014703783
2018-03-16,138.74,837.17K,-0.0020880592242966058,-0.0020858807451628048
2018-03-15,139.03,349.55K,-0.001868353518487987,-0.0018666092325363426
2018-03-14,139.29,338.05K,-0.014256425077776445,-0.014155283459551304
2018-03-13,141.29,258.04K,-0.005364592522480628,-0.005350228792678768
2018-03-12,142.05,819.24K,0.007348298451058368,0.007375363449400929
2018-03-09,141.01,607.76K,0.014356876718446878,0.014460431654676142
2018-03-08,139.0,704.47K,-0.002299512367108592,-0.002296870513924687
2018-03-07,139.32,527.41K,-0.0022226214563029058,-0.0022201532621929365
2018-03-06,139.63,929.58K,0.007620453843479681,0.0076495633975608435
2018-03-05,138.57,943.94K,0.005282020890949541,0.00529599535693559
2018-03-02,137.84,636.40K,-0.003909931850990766,-0.0039022980199450163
2018-03-01,138.38,380.22K,-0.020527845955885308,-0.020318584070796453
2018-02-28,141.25,388.12K,-0.009371875662932171,-0.009328096507224104
2018-02-27,142.58,315.43K,-0.01979162550013641,-0.019597057003369334
2018-02-26,145.43,233.00K,-0.0026781131886653743,-0.002674530242764983
2018-02-23,145.82,323.74K,0.02190880752839209,0.022150567783541186
2018-02-22,142.66,545.77K,0.008588577960558836,0.008625565610859809
2018-02-21,141.44,492.17K,-0.006623940786393881,-0.006602050849838448
2018-02-20,142.38,436.80K,0.0038703823692108957,0.003877881971374064
2018-02-16,141.83,447.24K,-0.015323021514204505,-0.015206221358144645
2018-02-15,144.02,761.26K,-0.005746545394638563,-0.005730065585087929
2018-02-14,144.85,680.76K,0.012434601535121596,0.012512232629665831
2018-02-13,143.06,425.21K,0.004483684126259234,0.004493750877685887
2018-02-12,142.42,271.00K,0.014284946962267758,0.014387464387464188
2018-02-09,140.4,407.50K,0.017241806434506173,0.01739130434782621
2018-02-08,138.0,370.30K,-0.033490839325585976,-0.03293622985283806
2018-02-07,142.7,352.30K,0.0020343032514543846,0.0020363738501509854
2018-02-06,142.41,578.46K,0.010234059043466819,0.010286606129398246
2018-02-05,140.96,420.69K,-0.0360204742986915,-0.035379456648189866
2018-02-02,146.13,382.19K,-0.012648067427195738,-0.012568416784918046
2018-02-01,147.99,542.85K,-0.015488592845172195,-0.01536926147704587
2018-01-31,150.3,445.55K,0.0025981827347054762,0.002601560936561942
2018-01-30,149.91,428.08K,-0.006582251749579885,-0.0065606361829025905
2018-01-29,150.9,338.34K,-0.01701805255151353,-0.016874063456902788
2018-01-26,153.49,433.76K,-0.008821488093895028,-0.008782692928640534
2018-01-25,154.85,461.21K,0.012934436604473656,0.01301844825330356
2018-01-24,152.86,291.54K,-0.0009808089189838767,-0.000980328083131643
2018-01-23,153.01,321.99K,-0.0003267226480530436,-0.00032666928002100803
2018-01-22,153.06,443.70K,-0.013820171301758328,-0.013725111154069158
2018-01-19,155.19,398.31K,0.00038669760729357917,0.0003867723844517279
2018-01-18,155.13,357.37K,-0.009111972696175018,-0.009070584477802734
2018-01-17,156.55,789.04K,0.02594859103632222,0.02628818670512656
2018-01-16,152.54,252.05K,-0.007575793808457656,-0.007547169811320753
2018-01-12,153.7,366.70K,0.0011066628737425293,0.0011072754510519367
2018-01-11,153.53,388.76K,-0.0016270219332270481,-0.0016256990505917335
2018-01-10,153.78,264.60K,-0.003116480901818296,-0.003111629716063713
2018-01-09,154.26,214.17K,-0.010126178951670147,-0.010075081819932108
2018-01-08,155.83,208.00K,-0.006651767410625767,-0.006629693376681289
2018-01-05,156.87,259.94K,0.02002449164616659,0.020226326742976086
2018-01-04,153.76,371.50K,-0.012795004926857778,-0.012713496853730688
2018-01-03,155.74,244.20K,0.007605579684632296,0.007634575569358315
2018-01-02,154.56,264.54K,,
